Item,quantity,Dish,Number of persons,,Item,quantity,Dish ,Number of persons,,,Item,quantity,Dish,Number of Persons,,,,,,
Aaloo,,Chicken Karhai,57,,Aaloo,25,Chicken roast with chips,68,,,Aaloo,,Chicken Biryani,112,,,,,,
Atta,20,,,,Atta,20,,,,,Atta,,,,,,,,,
karahi masala,1,,,,Biryani masala,,,,,,Biryani masala,1,,,,,,,,
Channay,,,,,Channay,,,,,,Channay,,,,,,,,,
chicken,5,,,,chicken,12.5,,,,,chicken,11.05,,,,,,,,
chowaray,,,,,chowaray,,,,,,chowaray,,,,,,,,,
knor,,,,,knor,2,,,,,knor,4,,,,,,,,
custard,,,,,daal,3.5,,,,,kasuri methe,0.04,,,,,,,,
Daal,,,,,Dara chli,0.02,,,,,Dara chli,0.03,,,,,,,,
Dahi,1,,,,Dahi,2,,,,,Dahi,17,,,,,,,,
Garm masala,0.03,,,,Garm masala,0.03,,,,,Garm masala,0.07,,,,,,,,
gas cylinder,1,,,,gas cylinder,1,,,,,gas cylinder,1,,,,,,,,
"girri sogi,illaichi",,,,,"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,,,,,
Haleem Masala,,,,, haldi,0.05,,,,,Haleem Masala,,,,,,,,,
Imli,,,,,Imli,,,,,,Imli,0.5,,,,,,,,
kali mirch,,,,,ketchup,3,,,,,lemon,0.55,,,,,,,,
Lemon,0.5,,,,lemon,0.5,,,,,mater,,,,,,,,,
Kheeray,,,,,Kheeray,,,,,,Kheeray,1,,,,,,,,
milk,1,,,,milk,1,,,,,milk,1,,,,,,,,
Oil,1.7,,,,Oil,3,,,,,Oil,4.05,,,,,,,,
Pakorian,,,,,Pakorian,,,,,,Pakorian,0.5,,,,,,,,
pissa dhania,0.02,,,,pissa dhania,0.02,,,,,pissa dhania,,,,,,,,,
Piyaaz,4.63,,,,Piyaaz,0.9,,,,,Piyaaz,1.55,,,,,,,,
Podina,,,,,Podina,,,,,,Podina,5,,,,,,,,
red chilli,0.12,,,,red chilli,0.06,,,,,red chilli,0.05,,,,,,,,
rent,1,,,,rent,1,,,,,rent,1,,,,,,,,
rice,,,,,rice,,,,,,rice,23,,,,,,,,
saban bartan,,,,,saban bartan,,,,,,saban bartan,,,,,,,,,
Saban hand,2,,,,Saban hand,,,,,,Saban hand,2,,,,,,,,
sabat dhania,0.13,,,,sabat dhania,0.02,,,,,sabat dhania,0.07,,,,,,,,
Sabz Dhania,1,,,,Sabz Dhania,1,,,,,Sabz Dhania,1,,,,,,,,
sabz mirch,0.15,,,,sabz mirch,,,,,,sabz mirch,0.17,,,,,,,,
Saraf bunas,1,,,,Sabzi,,,,,,achar,0.5,,,,,,,,
salt,0.06,,,,salt,0.27,,,,,salt,0.54,,,,,,,,
semian,,,,,semian,,,,,,semian,,,,,,,,,
Sirka,0.5,,,,Sirka,,,,,,Sirka,0.5,,,,,,,,
Tea,0.01,,,,tea,0.01,,,,,tea,0.03,,,,,,,,
sugar,0.4,,,,sugar,0.4,,,,,sugar,0.4,,,,,,,,
Tamatar,1.5,,,,Tamatar,0.46,,,,,Tamatar,1.42,,,,,,,,
Thoom Adrak,0.16,,,,Thoom Adrak,0.17,,,,,Thoom Adrak,0.33,,,,,,,,
Tissue,,,,,Tissue,,,,,,Tissue,,,,,,,,,
bulab mess,,,,,bulab mess,,,,,,bulab mess,,,,,,,,,
wood,,,,,wood,,,,,,wood,,,,,,,,,
zarda rang,,,,,zarda rang,,,,,,zarda rang,1,,,,,,,,
Zeera,0.03,,,,Zeera,0.04,,,,,Zeera,0.08,,,,,,,,
store,,,,,store,,,,,,store,,,,,,,,,
egg,,,,,egg,,,,,,egg,,,,,,,,,
mandi,,,,,mandi,,,,,,mandi,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,total,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Item,quantity,Dish ,Number of Persons
Item,quantity,Dish,Number of persons,,,Item,quantity,Dish,Number of Persons,,,Item,quantity,Dish,Number of persons,,Atta,20,Chicken karhai,54
Aaloo,,Daal Chawal,52,,,Aaloo,5,Chicken jalfarezi,60,,,Aaloo,,Chicken Daleem,42,,Biryani masala,,,
Atta,,,,,,Atta,20,,,,,Atta,17,,,,Channay,,,
Biryani masala,1,,,,,Biryani masala,,,,,,Biryani masala,,,,,chicken,4.784,,
masoor mong,1,,,,,Channay,,,,,,Channay,,,,,chowaray,,,
chicken,,,,,,chicken,2,,,,,chicken,1.5,,,,,,,
chowaray,,,,,,chowaray,,,,,,chowaray,,,,,custard,,,
knor,2,,,,,knor,3,,,,,knor,2,,,,Daal,,,
custard,,,,,,custard,,,,,,custard,,,,,Dahi,1,,
Daal,2,,,,,haldai,0.03,,,,,Daal,1,,,,Garm masala,0.02,,
Dahi,,,,,,Dahi,1,,,,,Dahi,0.5,,,,gas cylinder,1,,
Garm masala,0.02,,,,,Garm masala,0.03,,,,,Garm masala,0.02,,,,"girri sogi,illaichi",,,
gas LPG,1,,,,,gas cylinder,1,,,,,gas cylinder,1,,,,Haleem Masala,,,
"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,Imli,,,
Haleem Masala,,,,,,Haleem Masala,,,,,,Haleem Masala,1,,,,kali mirch,,,
Imli,,,,,,gajar,5,,,,,Imli,,,,,kheer,,,
kali mirch,,,,,,shamla ,2.5,,,,,kali mirch,,,,,Kheeray,,,
mater,,,,,,band gobhi,2.5,,,,,haldi,0.02,,,,milk,1,,
haldi,0.03,,,,,Kheeray,,,,,,Kheeray,,,,,Oil,1.5,,
milk,1,,,,,milk,1,,,,,milk,1,,,,Pakorian,,,
Oil,2,,,,,Oil,1.5,,,,,Oil,1.05,,,,pissa dhania,,,
Pakorian,,,,,,Pakorian,,,,,,Pakorian,,,,,Piyaaz,6,,
pissa dhania,,,,,,pissa dhania,,,,,,pissa dhania,,,,,Podina,,,
Piyaaz,0.62,,,,,Piyaaz,1.43,,,,,Piyaaz,2,,,,red chilli,0.02,,
Podina,,,,,,Podina,,,,,,Podina,,,,,rent,1,,
red chilli,0.02,,,,,red chilli,0.03,,,,,red chilli,0.02,,,,lemon,0.2,,
rent,1,,,,,rent,1,,,,,rent,1,,,,saban bartan,,,
rice,10,,,,,rice,1,,,,,rice,0.2,,,,Saban hand,,,
saban bartan,,,,,,saban bartan,,,,,,saban bartan,,,,,sabat dhania,0.02,,
Saban hand,,,,,,Saban hand,,,,,,Saban hand,,,,,Sabz Dhania,1,,
sabat dhania,0.02,,,,,sabat dhania,0.03,,,,,sabat dhania,0.04,,,,sabz mirch,0.01,,
Sabz Dhania,1,,,,,Sabz Dhania,1,,,,,Sabz Dhania,,,,,Sabzi,,,
sabz mirch,0.2,,,,,sabz mirch,0.4,,,,,sabz mirch,0.5,,,,salt,0.05,,
Sabzi,,,,,,Sabzi,,,,,,Sabzi,,,,,semian,,,
salt,0.26,,,,,salt,0.06,,,,,salt,0.04,,,,Sirka,,,
lemon,0.28,,,,,semian,,,,,,semian,,,,,tea,0.03,,
Sirka,,,,,,Sirka,,,,,,Sirka,,,,,sugar,0.2,,
tea,0.01,,,,,tea,0.01,,,,,soya sauce,1,,,,Tamatar,1.35,,
sugar,0.2,,,,,sugar,0.2,,,,,sugar,,,,,Thoom Adrak,0.12,,
Tamatar,0.65,,,,,Tamatar,0.84,,,,,Tamatar,0.66,,,,Tissue,,,
Thoom Adrak,0.018,,,,,Thoom Adrak,0.16,,,,,Thoom Adrak,0.06,,,,bulab mess,,,
Tissue,,,,,,Tissue,,,,,,Tissue,,,,,wood,,,
bulab mess,,,,,,bulab mess,,,,,,tea,0.01,,,,zarda rang,,,
wood,,,,,,wood,,,,,,sugar,0.4,,,,Zeera,0.02,,
zarda rang,,,,,,zarda rang,,,,,,zarda rang,,,,,saraf bonas,1,,
Zeera,0.06,,,,,Zeera,0.02,,,,,Zeera,0.03,,,,saban,1,,
dara mirch,0.02,,,,,store,,,,,,store,,,,,mandi,,,
egg,,,,,,egg,,,,,,egg,,,,,acher,0.5,,
mandi,,,,,,mandi,,,,,,mandi,,,,,haldi,0.02,,
,,,,,,,,,,,,lemon,1.5,,,,total,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,total,,,,,,total,,,,,,,,
